Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Soundwaves Wednesday,09/03/2025,16:00,09/03/2025,18:00,False,Enjoy live music and fresh air by the pool Seating and shade are limited. Bring your own beverages; no bars services will be available. Hidden Cypress will feature Mike Sweat. Lakehouse will feature Carolina Girls & Friends. Free event.,Hidden Cypress and Lakehouse Outdoor Pools,False
Club Fair Table Rentals,09/04/2025,,09/04/2025,,True,"Tables for the Club Fair on October 4 go on sale at Lifestyle Services. Tables are $20 with a maximum of two tables per club. Palmetto Commons, 8 a.m.",Palmetto Commons,False
Trivia Night,09/04/2025,18:00,09/04/2025,20:00,False,"Grab your friends and join the fun at Trivia Night, testing your knowledge of movies, books, quotes and so much more. Tickets are $7, available online or at Lifestyle Services. Cash bar services available. Capacity is 100. Pinckney Hall, 6 p.m.",Pinckney Hall,False
Live by the Lake,09/08/2025,16:00,09/08/2025,18:00,False,"Join us for live music by the DD Band at Lake Somerset. Seating, shade and parking are limited. Bring your own chair and beverages; no bar services available. Free event. Lake Somerset, 4–6 p.m.",Lake Somerset,False
Courtyard Cocktails,09/08/2025,17:00,09/08/2025,19:00,False,"Live music by Rider Duo. Bring your own chair. Shade is limited. Cash bar services available. Free event. Town Square Courtyard, 5–7 p.m.",Town Square Courtyard,False
Crumblin’ Down: The John Mellencamp Tribute,09/08/2025,19:00,09/08/2025,22:00,False,"No food or beverages permitted inside Magnolia Hall. Tickets are $35, available online and at Lifestyle Services. Limit of four tickets per household. Doors open at 6 p.m. Capacity is 548. Magnolia Hall, 7 p.m.",Magnolia Hall,False
Courtyard Cocktails,09/10/2025,17:00,09/10/2025,19:00,False,"Live music by Rider Duo. Bring your own chair. Shade is limited. Cash bar services available. Free event. Town Square Courtyard, 5–7 p.m.",Town Square Courtyard,False
Crumblin’ Down: The John Mellencamp Tribute,09/10/2025,19:00,09/10/2025,22:00,False,"No food or beverages permitted inside Magnolia Hall. Tickets are $35, available online and at Lifestyle Services. Limit of four tickets per household. Doors open at 6 p.m. Capacity is 548. Magnolia Hall, 7 p.m.",Magnolia Hall,False
Life Under the Sun Ticket Sales,09/10/2025,20:00,09/10/2025,22:00,False,"All ticketed events as a part of the Life Under the Sun celebration go on sale online and at Lifestyle Services. Residents only. Activity card required for entry to all ticketed events for each person. See the August issue of SunSations for a preview of events and a link to the full event lineup. Palmetto Commons, 8 a.m.",Palmetto Commons,False
Mixology,09/12/2025,16:00,09/12/2025,18:00,False,"Learn to craft delicious cocktails with Master Mixologist Brendan Marc\! You will learn about spirits, how they’re made and how to mix them in your own home. There will be cocktails, light refreshments, a lot of laughs and tons of fun. Tickets are $40, available online and at Lifestyle Services. Limit of four tickets per household. Capacity is 20. Pinckney Hall, 4 p.m.",Pinckney Hall,False
